episode,frames,return,Lc,La,Lbc,explore_noise,success
258,9345,-18.418869591414683,0.0,0.0,0.0,0.1,0
259,9381,-31.976964761314484,0.0,0.0,0.0,0.1,0
260,9395,-15.518070756232213,0.0,0.0,0.0,0.1,0
261,9409,-13.15917137416751,0.0,0.0,0.0,0.1,0
262,9432,-14.79020426911082,0.0,0.0,0.0,0.1,0
263,9443,-12.771803548612935,0.0,0.0,0.0,0.1,0
264,9495,-40.86906597760286,0.0,0.0,0.0,0.1,0
265,9516,-21.469759966666643,0.0,0.0,0.0,0.1,0
266,9579,-82.66280060677455,0.0,0.0,0.0,0.1,0
267,9632,-52.95884868775221,0.0,0.0,0.0,0.1,0
268,9650,-10.575813367850511,0.0,0.0,0.0,0.1,0
269,9673,-24.563893903054506,0.0,0.0,0.0,0.1,0
270,9758,-89.95707000720752,0.0,0.0,0.0,0.1,0
271,9767,-13.03545352686669,0.0,0.0,0.0,0.1,0
272,9799,-57.37696565555695,0.0,0.0,0.0,0.1,0
273,9809,-11.745572165567534,0.0,0.0,0.0,0.1,0
274,9853,-44.73585039012104,0.0,0.0,0.0,0.1,0
275,9886,-57.35166756551713,0.0,0.0,0.0,0.1,0
276,9920,-28.13727761193673,0.0,0.0,0.0,0.1,0
277,9930,-15.678119837551165,0.0,0.0,0.0,0.1,0
278,9998,-67.10846751130786,0.0,0.0,0.0,0.1,0
279,10032,-38.339842453641424,0.0,0.0,0.0,0.1,0
280,10049,-13.991154072527697,0.0,0.0,0.0,0.1,0
281,10050,-8.102357414981872,0.0,0.0,0.0,0.1,0
282,10068,-19.0826116218903,0.0,0.0,0.0,0.1,0
283,10084,-10.109139105580255,0.0,0.0,0.0,0.1,0
284,10121,-23.808692838339155,0.0,0.0,0.0,0.1,0
285,10151,-44.087650780141004,0.0,0.0,0.0,0.1,0
286,10192,-17.19637808702873,0.0,0.0,0.0,0.1,0
287,10245,-57.55324223140645,0.0,0.0,0.0,0.1,0
288,10278,-30.789058340008534,0.0,0.0,0.0,0.1,0
289,10299,-14.086664292759801,0.0,0.0,0.0,0.1,0
290,10316,-12.838215090532696,0.0,0.0,0.0,0.1,0
291,10336,-12.619420660032809,0.0,0.0,0.0,0.1,0
292,10353,-13.784282766569593,0.0,0.0,0.0,0.1,0
293,10404,-72.12794244470997,0.0,0.0,0.0,0.1,0
294,10454,-57.663772052276,0.0,0.0,0.0,0.1,0
295,10476,-25.985053389032878,0.0,0.0,0.0,0.1,0
296,10526,-27.815326309222485,0.0,0.0,0.0,0.1,0
297,10544,-12.462983847823635,0.0,0.0,0.0,0.1,0
298,10620,-47.27598182557421,0.0,0.0,0.0,0.1,0
299,10648,-24.66138154103946,0.0,0.0,0.0,0.1,0
300,10692,-54.75849442391746,0.0,0.0,0.0,0.1,0
301,10714,-13.462749288749205,0.0,0.0,0.0,0.1,0
302,10751,-7.700719106711752,0.0,0.0,0.0,0.1,0
303,10765,-10.654290868636547,0.0,0.0,0.0,0.1,0
304,10781,-10.11360609283224,0.0,0.0,0.0,0.1,0
305,10807,-33.05514330016209,0.0,0.0,0.0,0.1,0
306,10837,-31.083166868520333,0.0,0.0,0.0,0.1,0
307,10887,-28.269407387889448,0.0,0.0,0.0,0.1,0
308,10940,-22.428441291684138,0.0,0.0,0.0,0.1,0
309,10985,-56.06601349545586,0.0,0.0,0.0,0.1,0
310,11010,-12.809074365404005,0.0,0.0,0.0,0.1,0
